id,age, gender, education_level, job_title, years_of_experience, salary
175,35,Male,Bachelors,Senior Operations Analyst,7,85000
176,42,Female,PhD,Senior Marketing Manager,18,140000
177,31,Male,Bachelors,Junior Accountant,4,50000
178,38,Female,Bachelors,Senior Human Resources Coordinator,10,80000
179,46,Male,Masters,Director of Operations,20,170000
180,29,Female,Bachelors,Junior Sales Representative,2,40000
181,37,Male,Masters,Senior Business Analyst,9,105000
182,44,Female,PhD,Senior UX Designer,15,145000
183,27,Male,Bachelors,Junior Product Manager,2,40000
184,36,Female,Bachelors,Senior Marketing Specialist,8,85000
185,43,Male,Bachelors,Senior IT Project Manager,14,130000
186,33,Female,Masters,Senior Financial Analyst,6,95000
187,34,Male,Bachelors,Senior Quality Assurance Analyst,9,100000
188,50,Female,PhD,Director of Sales and Marketing,22,180000
189,28,Male,Bachelors,Junior Operations Analyst,1.5,35000
190,39,Female,Bachelors,Senior Account Executive,12,95000
191,47,Male,Masters,Director of Business Development,19,170000
192,30,Female,Bachelors,Junior Social Media Manager,3,45000
193,34,Male,Bachelors,Senior Product Manager,7,95000
194,40,Female,Masters,Senior Human Resources Specialist,13,120000
195,28,Male,Bachelors,Junior Business Analyst,2,40000
196,41,Female,Bachelors,Senior Marketing Coordinator,11,90000
197,45,Male,PhD,Senior Data Analyst,17,155000
198,32,Female,Bachelors,Junior Account Manager,5,55000
199,35,Male,Masters,Senior Software Developer,9,110000
200,49,Female,Masters,Director of Human Capital,21,180000
201,30,Male,Bachelors,Junior Advertising Coordinator,3,45000
202,44,Male,Bachelors,Senior Sales Manager,16,130000
203,27,Female,Masters,Junior UX Designer,1.5,45000
204,36,Male,Bachelors,Senior Accountant,7,90000
205,41,Female,PhD,Senior Marketing Director,17,160000
206,31,Male,Bachelors,Junior HR Generalist,4,50000
207,39,Female,Bachelors,Senior Operations Manager,10,120000
208,47,Male,Masters,Director of Finance,20,170000
209,30,Female,Bachelors,Junior Marketing Coordinator,2,40000
210,38,Male,Masters,Senior IT Consultant,9,110000
211,45,Female,PhD,Senior Product Designer,15,150000
212,28,Male,Bachelors,Junior Business Development Associate,2,40000
213,35,Female,Bachelors,Senior Marketing Analyst,8,85000
214,44,Male,Bachelors,Senior Software Engineer,14,130000
215,34,Female,Masters,Senior Financial Advisor,6,100000
216,35,Male,Bachelors,Senior Project Coordinator,9,95000
217,50,Female,PhD,Director of Operations,22,180000
218,29,Male,Bachelors,Junior Business Operations Analyst,1.5,35000
219,40,Female,Bachelors,Senior Sales Representative,12,100000
220,48,Male,Masters,Director of Marketing,19,170000
221,31,Female,Bachelors,Junior Social Media Specialist,3,45000
222,33,Male,Bachelors,Senior Product Development Manager,7,100000
223,42,Female,Masters,Senior Human Resources Manager,13,140000
224,28,Male,Bachelors,Junior Financial Analyst,2,40000
225,40,Female,Bachelors,Senior Marketing Manager,11,105000
226,46,Male,PhD,Senior Data Scientist,18,160000
227,33,Female,Bachelors,Junior Operations Manager,5,70000
228,37,Male,Masters,Senior Software Architect,9,120000
229,51,Female,Masters,Director of Human Resources,21,190000
230,30,Male,Bachelors,Junior Marketing Specialist,3,45000
231,43,Male,Bachelors,Senior Project Manager,15,120000
232,27,Female,Masters,Junior Research Scientist,1.5,50000
233,35,Male,Bachelors,Senior Operations Analyst,8,85000
234,42,Female,PhD,Senior Marketing Manager,13,140000
235,32,Male,Bachelors,Junior Sales Representative,3,45000
236,37,Female,Bachelors,Senior Financial Analyst,9,100000
237,45,Male,Masters,Senior Software Developer,16,140000
238,33,Female,Bachelors,Junior Operations Analyst,5,70000
239,39,Male,Bachelors,Senior Marketing Specialist,10,120000
240,44,Female,PhD,Senior HR Manager,18,160000
241,29,Male,Bachelors,Junior Business Analyst,1.5,40000
242,38,Female,Bachelors,Senior Product Manager,10,120000
243,46,Male,PhD,Senior Data Analyst,19,150000
244,34,Female,Bachelors,Junior Marketing Analyst,6,70000
245,36,Male,Bachelors,Senior Operations Manager,8,95000
246,49,Female,Masters,Director of Marketing,21,180000
247,31,Male,Bachelors,Junior Financial Analyst,3,50000
248,41,Female,Bachelors,Senior Project Coordinator,11,95000
249,47,Male,Masters,Director of Operations,20,170000
250,30,Female,Bachelors,Junior Marketing Coordinator,2,40000
251,38,Male,Masters,Senior IT Consultant,9,110000
252,45,Female,PhD,Senior Product Designer,15,150000
253,28,Male,Bachelors,Junior Business Development Associate,2,40000
254,35,Female,Bachelors,Senior Marketing Analyst,8,85000
255,44,Male,Bachelors,Senior Software Engineer,14,130000
256,34,Female,Masters,Senior Financial Advisor,6,100000
257,35,Male,Bachelors,Senior Project Coordinator,9,95000
258,50,Female,PhD,Director of Operations,22,180000
259,29,Male,Bachelors,Junior Business Operations Analyst,1.5,350
260,37,Female,Bachelors,Senior Financial Manager,10,120000
261,46,Male,PhD,Senior Data Scientist,18,160000
262,31,Female,Bachelors,Junior Marketing Coordinator,3,50000
263,42,Male,Bachelors,Senior Operations Manager,12,110000
264,29,Female,Bachelors,Junior Sales Representative,1.5,40000
265,36,Male,Bachelors,Senior Marketing Specialist,8,95000
266,44,Female,Masters,Senior HR Specialist,15,140000
267,33,Male,Bachelors,Junior Operations Manager,4,60000
268,39,Female,Bachelors,Senior Marketing Coordinator,9,110000
269,45,Male,PhD,Senior Data Engineer,16,150000
270,32,Female,Bachelors,Junior Marketing Manager,4,60000
271,37,Male,Bachelors,Senior Financial Analyst,8,90000
272,47,Female,Masters,Director of Marketing,20,180000
273,30,Male,Bachelors,Junior Business Analyst,2,40000
274,38,Female,Bachelors,Senior Project Manager,9,120000
275,46,Male,PhD,Senior Data Analyst,17,160000
276,34,Female,Bachelors,Junior Financial Analyst,5,70000
277,36,Male,Bachelors,Senior Product Manager,8,95000
278,49,Female,Masters,Director of Operations,21,180000
279,31,Male,Bachelors,Junior Operations Analyst,3,50000
280,41,Female,Bachelors,Senior Project Coordinator,11,95000
281,47,Male,Masters,Director of Marketing,19,170000
282,29,Female,Bachelors,Junior Business Development Associate,1.5,35000
283,35,Male,Bachelors,Senior Financial Manager,9,100000
284,44,Female,PhD,Senior Product Designer,15,150000
285,33,Male,Bachelors,Junior Business Analyst,4,60000
286,35,Female,Bachelors,Senior Marketing Analyst,8,85000
287,44,Male,Bachelors,Senior Software Engineer,13,130000
288,32,Male,Bachelors,Junior Product Manager,4,65000
289,38,Female,Bachelors,Senior Business Analyst,10,110000
290,49,Male,PhD,Director of Operations,21,180000
291,29,Female,Bachelors,Junior Marketing Specialist,2,40000
292,35,Male,Bachelors,Senior Business Development Manager,7,90000
293,45,Female,Masters,Senior HR Manager,14,140000
294,33,Male,Bachelors,Junior Financial Analyst,4,60000
295,40,Female,Bachelors,Senior Marketing Manager,12,130000
296,44,Male,PhD,Senior Data Scientist,16,160000
297,30,Female,Bachelors,Junior Operations Coordinator,2,40000
298,37,Male,Bachelors,Senior Marketing Analyst,9,100000
299,48,Female,Masters,Director of HR,20,180000
300,31,Male,Bachelors,Junior Project Manager,3,55000
301,38,Female,Bachelors,Senior Operations Coordinator,9,120000
302,45,Male,PhD,Senior Data Engineer,16,150000
303,33,Female,Bachelors,Junior Marketing Manager,5,70000
304,36,Male,Bachelors,Senior Business Analyst,8,95000
305,49,Female,Masters,Director of Marketing,21,180000
306,31,Male,Bachelors,Junior Operations Analyst,3,50000
307,42,Female,Bachelors,Senior Project Manager,12,120000
308,47,Male,Masters,Director of Marketing,19,170000
309,29,Female,Bachelors,Junior Business Development Associate,1.5,35000
310,35,Male,Bachelors,Senior Financial Manager,9,100000
311,44,Female,PhD,Senior Product Designer,15,150000
312,33,Male,Bachelors,Junior Business Analyst,4,60000
313,35,Female,Bachelors,Senior Marketing Analyst,8,85000
314,44,Male,Bachelors,Senior Software Engineer,13,130000
315,34,Female,Masters,Senior Financial Advisor,6,80000
316,36,Male,Bachelors,Senior Marketing Specialist,8,95000
317,30,Female,Bachelors,Junior HR Coordinator,2,40000
318,37,Male,Bachelors,Senior Business Development Manager,10,120000
319,45,Female,Masters,Senior Marketing Manager,16,160000
320,32,Male,Bachelors,Junior Financial Advisor,4,65000
321,39,Female,Bachelors,Senior Project Manager,12,130000
322,47,Male,PhD,Director of Engineering,20,180000
323,29,Female,Bachelors,Junior Marketing Analyst,2,40000
324,36,Male,Bachelors,Senior Operations Manager,9,100000
325,43,Female,PhD,Senior Data Scientist,15,150000
326,32,Male,Bachelors,Junior Marketing Coordinator,3,55000
327,38,Female,Bachelors,Senior Business Analyst,10,110000
328,48,Male,Masters,Director of Marketing,21,180000
329,31,Female,Bachelors,Junior Business Development Associate,3,50000
330,40,Male,Bachelors,Senior Financial Analyst,12,130000
331,45,Female,PhD,Senior UX Designer,16,160000
332,33,Male,Bachelors,Junior Product Manager,4,60000
333,36,Female,Bachelors,Senior Marketing Manager,8,95000
334,47,Male,Masters,Director of Operations,19,170000
335,29,Female,Bachelors,Junior Project Manager,2,40000
336,34,Male,Bachelors,Senior Operations Coordinator,7,90000
337,44,Female,PhD,Senior Business Analyst,15,150000
338,33,Male,Bachelors,Junior Marketing Specialist,5,70000
339,35,Female,Bachelors,Senior Financial Manager,8,90000
340,43,Male,Masters,Director of Marketing,18,170000
341,31,Female,Bachelors,Junior Financial Analyst,3,50000
342,41,Male,Bachelors,Senior Product Manager,14,150000
343,44,Female,PhD,Senior Data Engineer,16,160000
344,33,Male,Bachelors,Junior Business Analyst,4,60000
345,35,Female,Bachelors,Senior Marketing Analyst,8,85000
346,45,Male,Masters,Director of Engineering,19,180000
347,28,Female,Bachelors,Junior Operations Manager,1,35000
348,36,Male,Bachelors,Senior Business Development Manager,8,110000
349,44,Female,PhD,Senior Data Scientist,16,160000
350,31,Male,Bachelors,Junior Marketing Coordinator,3,55000
351,38,Female,Bachelors,Senior Business Analyst,10,110000
352,48,Male,Masters,Director of Marketing,21,180000
353,31,Female,Bachelors,Junior Business Development Associate,3,50000
354,40,Male,Bachelors,Senior Financial Analyst,12,130000
355,45,Female,PhD,Senior UX Designer,16,160000
356,33,Male,Bachelors,Junior Product Manager,4,60000
357,36,Female,Bachelors,Senior Marketing Manager,8,95000
358,47,Male,Masters,Director of Operations,19,170000
359,29,Female,Bachelors,Junior Project Manager,2,40000
360,34,Male,Bachelors,Senior Operations Coordinator,7,90000
361,44,Female,PhD,Senior Business Analyst,15,150000
362,33,Male,Bachelors,Junior Marketing Specialist,5,70000
363,35,Female,Bachelors,Senior Financial Manager,8,90000
364,43,Male,Masters,Director of Marketing,18,170000
365,31,Female,Bachelors,Junior Financial Analyst,3,50000
366,41,Male,Bachelors,Senior Product Manager,14,150000
367,44,Female,PhD,Senior Data Engineer,16,160000
368,33,Male,Bachelors,Junior Business Analyst,4,60000
369,35,Female,Bachelors,Senior Marketing Analyst,8,85000
370,43,Male,Masters,Director of Operations,19,170000
371,29,Female,Bachelors,Junior Project Manager,2,40000
372,34,Male,Bachelors,Senior Operations Coordinator,7,90000
373,44,Female,PhD,Senior Business Analyst,15,150000
374,31,Male,Masters,Data Scientist,6,160000
375,28,Female,Bachelors,Software Engineer,3,125000
376,26,Male,Masters,Product Manager,2,120000
377,27,Female,Bachelors,Data Analyst,2,110000
378,30,Male,PhD,Data Scientist,5,180000
379,29,Female,Bachelors,Software Engineer,4,140000
380,32,Male,Bachelors,Product Manager,7,170000
381,25,Female,Masters,Data Analyst,1,100000
382,33,Male,PhD,Data Scientist,8,190000
383,31,Female,Bachelors,Software Engineer,6,155000
384,28,Male,Masters,Product Manager,3,130000
385,30,Female,Bachelors,Data Analyst,5,145000
386,27,Male,PhD,Data Scientist,2,115000
387,29,Female,Bachelors,Software Engineer,4,140000
388,34,Male,Bachelors,Product Manager,9,185000
389,25,Female,Masters,Data Analyst,1,100000
390,33,Male,PhD,Data Scientist,8,190000
391,31,Female,Bachelors,Software Engineer,6,155000
392,28,Male,Masters,Product Manager,3,130000
393,30,Female,Bachelors,Data Analyst,5,145000
394,28,Male,Bachelors,Software Engineer,3,125000
395,26,Female,Masters,Product Manager,2,120000
396,27,Male,Bachelors,Data Analyst,2,110000
397,30,Female,PhD,Data Scientist,5,180000
398,29,Male,Bachelors,Software Engineer,4,140000
399,32,Male,Bachelors,Product Manager,7,170000
400,25,Female,Masters,Data Analyst,1,100000
401,33,Male,PhD,Data Scientist,8,190000
402,31,Female,Bachelors,Software Engineer,6,155000
403,28,Male,Masters,Product Manager,3,130000
404,30,Female,Bachelors,Data Analyst,5,145000
405,27,Male,PhD,Data Scientist,2,115000
406,29,Female,Bachelors,Software Engineer,4,140000
407,34,Male,Bachelors,Product Manager,9,185000
408,25,Female,Masters,Data Analyst,1,100000
409,33,Male,PhD,Data Scientist,8,190000
410,31,Female,Bachelors,Software Engineer,6,155000
411,28,Male,Masters,Product Manager,3,130000
412,30,Female,Bachelors,Data Analyst,5,145000
413,28,Male,Bachelors,Software Engineer,3,125000
414,26,Female,Masters,Product Manager,2,120000
415,27,Male,Bachelors,Data Analyst,2,110000
416,30,Female,PhD,Data Scientist,5,180000
417,29,Male,Bachelors,Software Engineer,4,140000
418,32,Male,Bachelors,Product Manager,7,170000
419,25,Female,Masters,Data Analyst,1,100000
420,33,Male,PhD,Data Scientist,8,190000
421,31,Female,Bachelors,Software Engineer,6,155000
422,28,Male,Masters,Product Manager,3,130000
423,30,Female,Bachelors,Data Analyst,5,145000
424,27,Male,PhD,Data Scientist,2,115000
425,29,Female,Bachelors,Software Engineer,4,140000
426,34,Male,Bachelors,Product Manager,9,185000
427,25,Female,Masters,Data Analyst,1,100000
428,33,Male,PhD,Data Scientist,8,190000
429,31,Female,Bachelors,Software Engineer,6,155000
430,28,Male,Masters,Product Manager,3,130000
431,30,Female,Bachelors,Data Analyst,5,145000
432,28,Male,Bachelors,Software Engineer,3,125000
433,26,Female,Masters,Product Manager,2,120000
434,27,Male,Bachelors,Data Analyst,2,110000
435,30,Female,PhD,Data Scientist,5,180000
436,29,Male,Bachelors,Software Engineer,4,140000
437,32,Male,Bachelors,Product Manager,7,170000
438,25,Female,Masters,Data Analyst,1,100000
439,33,Male,PhD,Data Scientist,8,190000
440,31,Female,Bachelors,Software Engineer,6,155000
441,28,Male,Masters,Product Manager,3,130000
442,30,Female,Bachelors,Data Analyst,5,145000
443,27,Male,PhD,Data Scientist,2,115000
444,29,Female,Bachelors,Software Engineer,4,140000
445,34,Male,Bachelors,Product Manager,9,185000
446,25,Female,Masters,Data Analyst,1,100000
447,33,Male,PhD,Data Scientist,8,190000
448,31,Female,Bachelors,Software Engineer,6,155000
449,28,Male,Masters,Product Manager,3,130000
450,30,Female,Bachelors,Data Analyst,5,145000
451,27,Male,PhD,Data Scientist,2,115000
452,29,Female,Bachelors,Software Engineer,4,140000
453,34,Male,Bachelors,Product Manager,9,185000
454,25,Female,Masters,Data Analyst,1,100000
455,33,Male,PhD,Data Scientist,8,190000
456,31,Female,Bachelors,Software Engineer,6,155000
457,28,Male,Masters,Product Manager,3,130000
458,30,Female,Bachelors,Data Analyst,5,145000
459,28,Male,Bachelors,Software Engineer,3,125000
460,26,Female,Masters,Product Manager,2,120000
461,27,Male,Bachelors,Data Analyst,2,110000
462,30,Female,PhD,Data Scientist,5,180000
463,29,Male,Bachelors,Software Engineer,4,140000
464,32,Male,Bachelors,Product Manager,7,170000
465,25,Female,Masters,Data Analyst,1,100000
466,33,Male,PhD,Data Scientist,8,190000
467,31,Female,Bachelors,Software Engineer,6,155000
468,28,Male,Masters,Product Manager,3,130000
469,30,Female,Bachelors,Data Analyst,5,145000
470,27,Male,PhD,Data Scientist,2,115000
471,29,Female,Bachelors,Software Engineer,4,140000
472,34,Male,Bachelors,Product Manager,9,185000
473,25,Female,Masters,Data Analyst,1,100000
474,33,Male,PhD,Data Scientist,8,190000
475,31,Female,Bachelors,Software Engineer,6,155000
476,28,Male,Masters,Product Manager,3,130000
477,30,Female,Bachelors,Data Analyst,5,145000
478,27,Male,PhD,Data Scientist,2,115000
479,29,Female,Bachelors,Software Engineer,4,140000
480,34,Male,Bachelors,Product Manager,9,185000
481,25,Female,Masters,Data Analyst,1,100000
482,33,Male,PhD,Data Scientist,8,190000
483,31,Female,Bachelors,Software Engineer,6,155000
484,28,Male,Masters,Product Manager,3,130000
485,30,Female,Bachelors,Data Analyst,5,145000
486,27,Male,PhD,Data Scientist,2,115000
487,29,Female,Bachelors,Software Engineer,4,140000
488,34,Male,Bachelors,Product Manager,9,185000
489,25,Female,Masters,Data Analyst,1,100000
490,33,Male,PhD,Data Scientist,8,190000
491,31,Female,Bachelors,Software Engineer,6,155000
492,28,Male,Masters,Product Manager,3,130000
493,30,Female,Bachelors,Data Analyst,5,145000
494,27,Male,PhD,Data Scientist,2,115000
495,29,Female,Bachelors,Software Engineer,4,140000
496,34,Male,Bachelors,Product Manager,9,185000
497,25,Female,Masters,Data Analyst,1,100000
498,33,Male,PhD,Data Scientist,8,190000
499,31,Female,Bachelors,Software Engineer,6,155000
500,28,Male,Masters,Product Manager,3,130000
501,30,Female,Bachelors,Data Analyst,5,145000
502,27,Male,PhD,Data Scientist,2,115000
503,29,Female,Bachelors,Software Engineer,4,140000
504,34,Male,Bachelors,Product Manager,9,185000
505,26,Male,Bachelors,Data Analyst,3,130000
506,29,Female,Masters,Data Scientist,6,180000
507,32,Male,Bachelors,Software Engineer,8,190000
508,27,Female,Bachelors,Product Manager,4,150000
509,24,Male,Bachelors,Data Analyst,1,90000
510,31,Female,Masters,Data Scientist,9,195000
511,28,Male,Bachelors,Software Engineer,5,160000
512,33,Female,Masters,Product Manager,11,198000
513,25,Male,Bachelors,Data Analyst,2,110000
514,30,Female,PhD,Data Scientist,7,185000
515,27,Male,Bachelors,Software Engineer,4,140000
516,34,Female,Masters,Product Manager,12,196000
517,23,Male,Bachelors,Data Analyst,1,95000
518,32,Female,PhD,Data Scientist,10,193000
519,29,Male,Bachelors,Software Engineer,6,175000
520,30,Female,Bachelors,Product Manager,5,160000
521,26,Male,Bachelors,Data Analyst,3,130000
522,31,Female,Masters,Data Scientist,6,180000
523,28,Male,Bachelors,Software Engineer,5,160000
524,33,Female,Masters,Product Manager,11,198000
525,24,Male,Bachelors,Data Analyst,1,90000
526,30,Female,PhD,Data Scientist,7,185000
527,27,Male,Bachelors,Software Engineer,4,140000
528,34,Female,Masters,Product Manager,12,196000
529,25,Male,Bachelors,Data Analyst,2,110000
530,29,Female,Masters,Data Scientist,6,180000
531,32,Male,Bachelors,Software Engineer,8,190000
532,27,Female,Bachelors,Product Manager,4,150000
533,31,Male,Bachelors,Data Analyst,9,195000
534,28,Female,Bachelors,Software Engineer,5,160000
535,33,Male,Masters,Product Manager,11,198000
536,26,Female,Bachelors,Data Analyst,3,130000
537,30,Male,PhD,Data Scientist,7,185000
538,27,Female,Bachelors,Software Engineer,4,140000
539,34,Male,Masters,Product Manager,12,196000
540,25,Female,Bachelors,Data Analyst,2,110000
