id,age, gender, education_level,role_name, years_of_experience, basic_salary,currency
50,25,Male,Bachelors,Help Desk Analyst,0,35000,gbp
51,51,Female,Bachelors,Customer Service Manager,22,130000,gbp
52,33,Male,Masters,Business Intelligence Analyst,7,85000,gbp
53,40,Female,Bachelors,Event Coordinator,12,60000,gbp
54,47,Male,Masters,VP of Finance,19,200000,gbp
55,29,Female,Bachelors,Graphic Designer,3,50000,gbp
56,36,Male,Bachelors,Sales Manager,9,95000,gbp
57,27,Female,Masters,UX Researcher,2,65000,gbp
58,43,Male,PhD,Senior Engineer,17,140000,gbp
59,30,Female,Bachelors,Social Media Manager,4,55000,gbp
60,35,Male,Masters,Product Manager,7,105000,gbp
61,51,Female,Masters,Director of Operations,23,170000,gbp
62,29,Male,Bachelors,Marketing Analyst,3,50000,gbp
63,40,Female,Bachelors,HR Manager,12,80000,gbp
64,47,Male,PhD,Senior Data Scientist,21,180000,gbp
65,26,Male,Bachelors,Junior Accountant,1,35000,gbp
66,38,Female,Masters,Digital Marketing Manager,10,90000,gbp
67,46,Male,Bachelors,IT Manager,19,120000,gbp
68,31,Female,Bachelors,Customer Service Representative,5,45000,gbp
69,34,Male,Masters,Business Development Manager,8,90000,gbp
70,49,Female,Masters,Senior Financial Analyst,18,150000,gbp
71,33,Male,Bachelors,Web Developer,6,65000,gbp
72,39,Female,Bachelors,Recruiter,11,70000,gbp
73,45,Male,PhD,Research Director,16,190000,gbp
74,28,Male,Bachelors,Technical Support Specialist,2,40000,gbp
75,42,Female,Masters,Creative Director,14,120000,gbp
76,37,Male,Bachelors,Project Manager,10,95000,gbp
77,50,Female,Bachelors,Operations Manager,22,160000,gbp
78,32,Male,Masters,Senior Software Engineer,6,100000,gbp
79,48,Female,Masters,Human Resources Director,20,180000,gbp
80,30,Female,Bachelors,Content Marketing Manager,3,55000,gbp
81,36,Male,Bachelors,Technical Recruiter,8,70000,gbp
82,41,Female,Masters,Data Analyst,13,80000,gbp
83,25,Male,Bachelors,Sales Representative,0,30000,gbp
84,52,Male,PhD,Chief Technology Officer,24,250000,gbp
85,29,Female,Bachelors,Junior Designer,2,40000,gbp
86,34,Female,Masters,Financial Advisor,10,95000,gbp
87,27,Male,Bachelors,Junior Account Manager,2,45000,gbp
88,40,Female,Bachelors,HR Generalist,15,80000,gbp
89,46,Male,Masters,Senior Project Manager,21,135000,gbp
90,31,Female,Bachelors,Marketing Coordinator,6,55000,gbp
91,36,Male,PhD,Principal Scientist,11,120000,gbp
92,29,Female,Bachelors,Sales Associate,3,40000,gbp
93,43,Male,Bachelors,Supply Chain Manager,18,105000,gbp
94,52,Female,Masters,Senior Marketing Manager,25,170000,gbp
95,33,Male,Bachelors,Business Analyst,7,75000,gbp
96,39,Female,Bachelors,Training Specialist,12,65000,gbp
97,47,Male,PhD,Research Scientist,22,160000,gbp
98,26,Male,Bachelors,Junior Software Developer,1,35000,gbp
99,38,Female,Masters,Public Relations Manager,10,90000,gbp
100,45,Male,Bachelors,Operations Analyst,20,110000,gbp
101,31,Female,Bachelors,Event Coordinator,5,45000,gbp
102,35,Male,Masters,Product Marketing Manager,8,95000,gbp
103,49,Female,Masters,Senior HR Manager,19,150000,gbp
104,33,Male,Bachelors,Junior Web Developer,5,50000,gbp
105,39,Female,Masters,Senior Project Coordinator,13,80000,gbp
106,44,Male,PhD,Chief Data Officer,16,220000,gbp
107,30,Female,Bachelors,Digital Content Producer,3,50000,gbp
108,36,Male,Bachelors,IT Support Specialist,7,60000,gbp
109,41,Female,Masters,Senior Marketing Analyst,14,100000,gbp
110,28,Male,Bachelors,Customer Success Manager,2,40000,gbp
111,42,Female,Masters,Senior Graphic Designer,15,110000,gbp
112,37,Male,Bachelors,Software Project Manager,9,95000,gbp
113,50,Female,Bachelors,Supply Chain Analyst,22,130000,gbp
114,32,Male,Masters,Senior Business Analyst,6,90000,gbp
115,23,Female,Bachelors,Junior Marketing Analyst,0.5,35000,gbp
116,31,Male,Masters,Senior Financial Analyst,6,95000,gbp
117,40,Female,Bachelors,Office Manager,15,65000,gbp
118,48,Male,PhD,Principal Engineer,20,170000,gbp
119,29,Female,Bachelors,Junior HR Generalist,3,45000,gbp
120,35,Male,Masters,Senior Product Manager,10,120000,gbp
121,42,Female,Bachelors,Sales Manager,17,100000,gbp
122,53,Male,Masters,Director of Marketing,25,180000,gbp
123,33,Female,Bachelors,Junior Operations Analyst,5,50000,gbp
124,38,Male,Bachelors,Customer Service Manager,11,80000,gbp
125,44,Female,PhD,Senior Scientist,16,140000,gbp
126,26,Male,Bachelors,Junior Accountant,2,40000,gbp
127,37,Female,Masters,Senior HR Generalist,9,95000,gbp
128,45,Male,Bachelors,Sales Operations Manager,18,110000,gbp
129,32,Female,Bachelors,Marketing Coordinator,4,50000,gbp
130,34,Male,Masters,Senior Software Developer,8,105000,gbp
131,50,Female,Masters,Director of Operations,21,160000,gbp
132,29,Male,Bachelors,Junior Web Designer,3,45000,gbp
133,40,Female,Masters,Senior Training Specialist,12,100000,gbp
134,47,Male,PhD,Senior Research Scientist,22,160000,gbp
135,27,Male,Bachelors,Junior Sales Representative,1,35000,gbp
136,39,Female,Bachelors,Administrative Assistant,10,55000,gbp
137,46,Male,Masters,Senior Project Manager,19,140000,gbp
138,30,Female,Bachelors,Junior Marketing Manager,4,50000,gbp
139,36,Male,Bachelors,Junior Data Analyst,7,60000,gbp
140,43,Female,Masters,Senior Product Marketing Manager,14,120000,gbp
141,28,Male,Bachelors,Junior Business Analyst,2,40000,gbp
142,41,Female,Masters,Senior Marketing Manager,13,110000,gbp
143,33,Male,Bachelors,Junior Software Developer,5,50000,gbp
144,47,Male,Bachelors,Senior Sales Manager,20,135000,gbp
145,25,Female,Masters,Junior Marketing Specialist,1.5,40000,gbp
146,34,Male,Bachelors,Senior Business Analyst,8,90000,gbp
147,42,Female,PhD,Senior Data Scientist,16,150000,gbp
148,31,Male,Bachelors,Junior Project Manager,4,60000,gbp
149,38,Female,Bachelors,Senior Accountant,10,80000,gbp
150,45,Male,Masters,Director of Sales,19,175000,gbp
151,29,Female,Bachelors,Junior Recruiter,3,45000,gbp
152,36,Male,Masters,Senior Business Development Manager,11,120000,gbp
153,43,Female,PhD,Senior Product Designer,18,140000,gbp
154,26,Male,Bachelors,Junior Customer Support Specialist,2,35000,gbp
155,37,Female,Masters,Senior Marketing Analyst,9,95000,gbp
156,44,Male,Bachelors,Senior IT Support Specialist,14,110000,gbp
157,32,Female,Bachelors,Junior Financial Analyst,5,50000,gbp
158,33,Male,Masters,Senior Operations Manager,7,115000,gbp
159,51,Female,PhD,Director of Human Resources,23,185000,gbp
160,28,Male,Bachelors,Junior Software Engineer,2,40000,gbp
161,39,Female,Bachelors,Senior Sales Representative,12,90000,gbp
162,48,Male,Masters,Director of Product Management,21,175000,gbp
163,30,Female,Bachelors,Junior Copywriter,3,45000,gbp
164,35,Male,Bachelors,Senior Marketing Coordinator,7,80000,gbp
165,41,Female,Masters,Senior Human Resources Manager,13,120000,gbp
166,27,Male,Bachelors,Junior Business Development Associate,1.5,35000,gbp
167,40,Female,Bachelors,Senior Account Manager,14,110000,gbp
168,46,Male,PhD,Senior Researcher,18,150000,gbp
169,31,Female,Bachelors,Junior HR Coordinator,4,50000,gbp
170,34,Male,Masters,Senior Software Engineer,9,105000,gbp
171,50,Female,Masters,Director of Finance,20,180000,gbp
172,29,Male,Bachelors,Junior Marketing Coordinator,2,40000,gbp
173,43,Male,Bachelors,Senior Project Manager,16,140000,gbp
174,26,Female,Masters,Junior Data Scientist,1.5,45000,gbp
175,35,Male,Bachelors,Senior Operations Analyst,7,85000,gbp
176,42,Female,PhD,Senior Marketing Manager,18,140000,gbp
177,31,Male,Bachelors,Junior Accountant,4,50000,gbp
178,38,Female,Bachelors,Senior Human Resources Coordinator,10,80000,gbp
179,46,Male,Masters,Director of Operations,20,170000,gbp
180,29,Female,Bachelors,Junior Sales Representative,2,40000,gbp
181,37,Male,Masters,Senior Business Analyst,9,105000,gbp
182,44,Female,PhD,Senior UX Designer,15,145000,gbp
183,27,Male,Bachelors,Junior Product Manager,2,40000,gbp
184,36,Female,Bachelors,Senior Marketing Specialist,8,85000,gbp
185,43,Male,Bachelors,Senior IT Project Manager,14,130000,gbp
186,33,Female,Masters,Senior Financial Analyst,6,95000,gbp
187,34,Male,Bachelors,Senior Quality Assurance Analyst,9,100000,gbp
188,50,Female,PhD,Director of Sales and Marketing,22,180000,gbp
189,28,Male,Bachelors,Junior Operations Analyst,1.5,35000,gbp
190,39,Female,Bachelors,Senior Account Executive,12,95000,gbp
191,47,Male,Masters,Director of Business Development,19,170000,gbp
192,30,Female,Bachelors,Junior Social Media Manager,3,45000,gbp
193,34,Male,Bachelors,Senior Product Manager,7,95000,gbp
194,40,Female,Masters,Senior Human Resources Specialist,13,120000,gbp
195,28,Male,Bachelors,Junior Business Analyst,2,40000,gbp
196,41,Female,Bachelors,Senior Marketing Coordinator,11,90000,gbp
197,45,Male,PhD,Senior Data Analyst,17,155000,gbp
198,32,Female,Bachelors,Junior Account Manager,5,55000,gbp
199,35,Male,Masters,Senior Software Developer,9,110000,gbp
200,49,Female,Masters,Director of Human Capital,21,180000,gbp
201,30,Male,Bachelors,Junior Advertising Coordinator,3,45000,gbp
202,44,Male,Bachelors,Senior Sales Manager,16,130000,gbp
203,27,Female,Masters,Junior UX Designer,1.5,45000,gbp
204,36,Male,Bachelors,Senior Accountant,7,90000,gbp
205,41,Female,PhD,Senior Marketing Director,17,160000,gbp
206,31,Male,Bachelors,Junior HR Generalist,4,50000,gbp
207,39,Female,Bachelors,Senior Operations Manager,10,120000,gbp
208,47,Male,Masters,Director of Finance,20,170000,gbp
209,30,Female,Bachelors,Junior Marketing Coordinator,2,40000,gbp
210,38,Male,Masters,Senior IT Consultant,9,110000,gbp
211,45,Female,PhD,Senior Product Designer,15,150000,gbp
212,28,Male,Bachelors,Junior Business Development Associate,2,40000,gbp
213,35,Female,Bachelors,Senior Marketing Analyst,8,85000,gbp
214,44,Male,Bachelors,Senior Software Engineer,14,130000,gbp
215,34,Female,Masters,Senior Financial Advisor,6,100000,gbp
216,35,Male,Bachelors,Senior Project Coordinator,9,95000,gbp
217,50,Female,PhD,Director of Operations,22,180000,gbp
218,29,Male,Bachelors,Junior Business Operations Analyst,1.5,35000,gbp
219,40,Female,Bachelors,Senior Sales Representative,12,100000,gbp
220,48,Male,Masters,Director of Marketing,19,170000,gbp
221,31,Female,Bachelors,Junior Social Media Specialist,3,45000,gbp
222,33,Male,Bachelors,Senior Product Development Manager,7,100000,gbp
223,42,Female,Masters,Senior Human Resources Manager,13,140000,gbp
224,28,Male,Bachelors,Junior Financial Analyst,2,40000,gbp
225,40,Female,Bachelors,Senior Marketing Manager,11,105000,gbp
226,46,Male,PhD,Senior Data Scientist,18,160000,gbp
227,33,Female,Bachelors,Junior Operations Manager,5,70000,gbp
228,37,Male,Masters,Senior Software Architect,9,120000,gbp
229,51,Female,Masters,Director of Human Resources,21,190000,gbp
230,30,Male,Bachelors,Junior Marketing Specialist,3,45000,gbp
231,43,Male,Bachelors,Senior Project Manager,15,120000,gbp
232,27,Female,Masters,Junior Research Scientist,1.5,50000,gbp
233,35,Male,Bachelors,Senior Operations Analyst,8,85000,gbp
234,42,Female,PhD,Senior Marketing Manager,13,140000,gbp
235,32,Male,Bachelors,Junior Sales Representative,3,45000,gbp
236,37,Female,Bachelors,Senior Financial Analyst,9,100000,gbp
237,45,Male,Masters,Senior Software Developer,16,140000,gbp
238,33,Female,Bachelors,Junior Operations Analyst,5,70000,gbp
239,39,Male,Bachelors,Senior Marketing Specialist,10,120000,gbp
240,44,Female,PhD,Senior HR Manager,18,160000,gbp
241,29,Male,Bachelors,Junior Business Analyst,1.5,40000,gbp
242,38,Female,Bachelors,Senior Product Manager,10,120000,gbp
243,46,Male,PhD,Senior Data Analyst,19,150000,gbp
244,34,Female,Bachelors,Junior Marketing Analyst,6,70000,gbp
245,36,Male,Bachelors,Senior Operations Manager,8,95000,gbp
246,49,Female,Masters,Director of Marketing,21,180000,gbp
247,31,Male,Bachelors,Junior Financial Analyst,3,50000,gbp
248,41,Female,Bachelors,Senior Project Coordinator,11,95000,gbp
249,47,Male,Masters,Director of Operations,20,170000,gbp
250,30,Female,Bachelors,Junior Marketing Coordinator,2,40000,gbp
251,38,Male,Masters,Senior IT Consultant,9,110000,gbp
252,45,Female,PhD,Senior Product Designer,15,150000,gbp
253,28,Male,Bachelors,Junior Business Development Associate,2,40000,gbp
254,35,Female,Bachelors,Senior Marketing Analyst,8,85000,gbp
255,44,Male,Bachelors,Senior Software Engineer,14,130000,gbp
256,34,Female,Masters,Senior Financial Advisor,6,100000,gbp
257,35,Male,Bachelors,Senior Project Coordinator,9,95000,gbp
258,50,Female,PhD,Director of Operations,22,180000,gbp
259,29,Male,Bachelors,Junior Business Operations Analyst,1.5,350,gbp
260,37,Female,Bachelors,Senior Financial Manager,10,120000,gbp
261,46,Male,PhD,Senior Data Scientist,18,160000,gbp
262,31,Female,Bachelors,Junior Marketing Coordinator,3,50000,gbp
263,42,Male,Bachelors,Senior Operations Manager,12,110000,gbp
264,29,Female,Bachelors,Junior Sales Representative,1.5,40000,gbp
265,36,Male,Bachelors,Senior Marketing Specialist,8,95000,gbp
266,44,Female,Masters,Senior HR Specialist,15,140000,gbp
267,33,Male,Bachelors,Junior Operations Manager,4,60000,gbp
268,39,Female,Bachelors,Senior Marketing Coordinator,9,110000,gbp
269,45,Male,PhD,Senior Data Engineer,16,150000,gbp
270,32,Female,Bachelors,Junior Marketing Manager,4,60000,gbp
271,37,Male,Bachelors,Senior Financial Analyst,8,90000,gbp
272,47,Female,Masters,Director of Marketing,20,180000,gbp
273,30,Male,Bachelors,Junior Business Analyst,2,40000,gbp
274,38,Female,Bachelors,Senior Project Manager,9,120000,gbp
275,46,Male,PhD,Senior Data Analyst,17,160000,gbp
276,34,Female,Bachelors,Junior Financial Analyst,5,70000,gbp
277,36,Male,Bachelors,Senior Product Manager,8,95000,gbp
278,49,Female,Masters,Director of Operations,21,180000,gbp
279,31,Male,Bachelors,Junior Operations Analyst,3,50000,gbp
280,41,Female,Bachelors,Senior Project Coordinator,11,95000,gbp
281,47,Male,Masters,Director of Marketing,19,170000,gbp
282,29,Female,Bachelors,Junior Business Development Associate,1.5,35000,gbp
283,35,Male,Bachelors,Senior Financial Manager,9,100000,gbp
284,44,Female,PhD,Senior Product Designer,15,150000,gbp
285,33,Male,Bachelors,Junior Business Analyst,4,60000,gbp
286,35,Female,Bachelors,Senior Marketing Analyst,8,85000,gbp
287,44,Male,Bachelors,Senior Software Engineer,13,130000,gbp
288,32,Male,Bachelors,Junior Product Manager,4,65000,gbp
289,38,Female,Bachelors,Senior Business Analyst,10,110000,gbp
290,49,Male,PhD,Director of Operations,21,180000,gbp
291,29,Female,Bachelors,Junior Marketing Specialist,2,40000,gbp
292,35,Male,Bachelors,Senior Business Development Manager,7,90000,gbp
293,45,Female,Masters,Senior HR Manager,14,140000,gbp
294,33,Male,Bachelors,Junior Financial Analyst,4,60000,gbp
295,40,Female,Bachelors,Senior Marketing Manager,12,130000,gbp
296,44,Male,PhD,Senior Data Scientist,16,160000,gbp
297,30,Female,Bachelors,Junior Operations Coordinator,2,40000,gbp
298,37,Male,Bachelors,Senior Marketing Analyst,9,100000,gbp
299,48,Female,Masters,Director of HR,20,180000,gbp
300,31,Male,Bachelors,Junior Project Manager,3,55000,gbp
301,38,Female,Bachelors,Senior Operations Coordinator,9,120000,gbp
302,45,Male,PhD,Senior Data Engineer,16,150000,gbp
303,33,Female,Bachelors,Junior Marketing Manager,5,70000,gbp
304,36,Male,Bachelors,Senior Business Analyst,8,95000,gbp
305,49,Female,Masters,Director of Marketing,21,180000,gbp
306,31,Male,Bachelors,Junior Operations Analyst,3,50000,gbp
307,42,Female,Bachelors,Senior Project Manager,12,120000,gbp
308,47,Male,Masters,Director of Marketing,19,170000,gbp
309,29,Female,Bachelors,Junior Business Development Associate,1.5,35000,gbp
310,35,Male,Bachelors,Senior Financial Manager,9,100000,gbp
311,44,Female,PhD,Senior Product Designer,15,150000,gbp
312,33,Male,Bachelors,Junior Business Analyst,4,60000,gbp
313,35,Female,Bachelors,Senior Marketing Analyst,8,85000,gbp
314,44,Male,Bachelors,Senior Software Engineer,13,130000,gbp
315,34,Female,Masters,Senior Financial Advisor,6,80000,gbp
316,36,Male,Bachelors,Senior Marketing Specialist,8,95000,gbp
317,30,Female,Bachelors,Junior HR Coordinator,2,40000,gbp
318,37,Male,Bachelors,Senior Business Development Manager,10,120000,gbp
319,45,Female,Masters,Senior Marketing Manager,16,160000,gbp
320,32,Male,Bachelors,Junior Financial Advisor,4,65000,gbp
321,39,Female,Bachelors,Senior Project Manager,12,130000,gbp
322,47,Male,PhD,Director of Engineering,20,180000,gbp
323,29,Female,Bachelors,Junior Marketing Analyst,2,40000,gbp
324,36,Male,Bachelors,Senior Operations Manager,9,100000,gbp
325,43,Female,PhD,Senior Data Scientist,15,150000,gbp
326,32,Male,Bachelors,Junior Marketing Coordinator,3,55000,gbp
327,38,Female,Bachelors,Senior Business Analyst,10,110000,gbp
328,48,Male,Masters,Director of Marketing,21,180000,gbp
329,31,Female,Bachelors,Junior Business Development Associate,3,50000,gbp
330,40,Male,Bachelors,Senior Financial Analyst,12,130000,gbp
331,45,Female,PhD,Senior UX Designer,16,160000,gbp
332,33,Male,Bachelors,Junior Product Manager,4,60000,gbp
333,36,Female,Bachelors,Senior Marketing Manager,8,95000,gbp
334,47,Male,Masters,Director of Operations,19,170000,gbp
335,29,Female,Bachelors,Junior Project Manager,2,40000,gbp
336,34,Male,Bachelors,Senior Operations Coordinator,7,90000,gbp
337,44,Female,PhD,Senior Business Analyst,15,150000,gbp
338,33,Male,Bachelors,Junior Marketing Specialist,5,70000,gbp
339,35,Female,Bachelors,Senior Financial Manager,8,90000,gbp
340,43,Male,Masters,Director of Marketing,18,170000,gbp
341,31,Female,Bachelors,Junior Financial Analyst,3,50000,gbp
342,41,Male,Bachelors,Senior Product Manager,14,150000,gbp
343,44,Female,PhD,Senior Data Engineer,16,160000,gbp
344,33,Male,Bachelors,Junior Business Analyst,4,60000,gbp
345,35,Female,Bachelors,Senior Marketing Analyst,8,85000,gbp
346,45,Male,Masters,Director of Engineering,19,180000,gbp
347,28,Female,Bachelors,Junior Operations Manager,1,35000,gbp
348,36,Male,Bachelors,Senior Business Development Manager,8,110000,gbp
349,44,Female,PhD,Senior Data Scientist,16,160000,gbp
350,31,Male,Bachelors,Junior Marketing Coordinator,3,55000,gbp
351,38,Female,Bachelors,Senior Business Analyst,10,110000,gbp
352,48,Male,Masters,Director of Marketing,21,180000,gbp
353,31,Female,Bachelors,Junior Business Development Associate,3,50000,gbp
354,40,Male,Bachelors,Senior Financial Analyst,12,130000,gbp
355,45,Female,PhD,Senior UX Designer,16,160000,gbp
356,33,Male,Bachelors,Junior Product Manager,4,60000,gbp
357,36,Female,Bachelors,Senior Marketing Manager,8,95000,gbp
358,47,Male,Masters,Director of Operations,19,170000,gbp
359,29,Female,Bachelors,Junior Project Manager,2,40000,gbp
360,34,Male,Bachelors,Senior Operations Coordinator,7,90000,gbp
361,44,Female,PhD,Senior Business Analyst,15,150000,gbp
362,33,Male,Bachelors,Junior Marketing Specialist,5,70000,gbp
363,35,Female,Bachelors,Senior Financial Manager,8,90000,gbp
364,43,Male,Masters,Director of Marketing,18,170000,gbp
365,31,Female,Bachelors,Junior Financial Analyst,3,50000,gbp
366,41,Male,Bachelors,Senior Product Manager,14,150000,gbp
367,44,Female,PhD,Senior Data Engineer,16,160000,gbp
368,33,Male,Bachelors,Junior Business Analyst,4,60000,gbp
369,35,Female,Bachelors,Senior Marketing Analyst,8,85000,gbp
370,43,Male,Masters,Director of Operations,19,170000,gbp
371,29,Female,Bachelors,Junior Project Manager,2,40000,gbp
372,34,Male,Bachelors,Senior Operations Coordinator,7,90000,gbp
373,44,Female,PhD,Senior Business Analyst,15,150000,gbp
374,31,Male,Masters,Data Scientist,6,160000,gbp
375,28,Female,Bachelors,Software Engineer,3,125000,gbp
376,26,Male,Masters,Product Manager,2,120000,gbp
377,27,Female,Bachelors,Data Analyst,2,110000,gbp
378,30,Male,PhD,Data Scientist,5,180000,gbp
379,29,Female,Bachelors,Software Engineer,4,140000,gbp
380,32,Male,Bachelors,Product Manager,7,170000,gbp
381,25,Female,Masters,Data Analyst,1,100000,gbp
382,33,Male,PhD,Data Scientist,8,190000,gbp
383,31,Female,Bachelors,Software Engineer,6,155000,gbp
384,28,Male,Masters,Product Manager,3,130000,gbp
385,30,Female,Bachelors,Data Analyst,5,145000,gbp
386,27,Male,PhD,Data Scientist,2,115000,gbp
387,29,Female,Bachelors,Software Engineer,4,140000,gbp
388,34,Male,Bachelors,Product Manager,9,185000,gbp
389,25,Female,Masters,Data Analyst,1,100000,gbp
390,33,Male,PhD,Data Scientist,8,190000,gbp
391,31,Female,Bachelors,Software Engineer,6,155000,gbp
392,28,Male,Masters,Product Manager,3,130000,gbp
393,30,Female,Bachelors,Data Analyst,5,145000,gbp
394,28,Male,Bachelors,Software Engineer,3,125000,gbp
395,26,Female,Masters,Product Manager,2,120000,gbp
396,27,Male,Bachelors,Data Analyst,2,110000,gbp
397,30,Female,PhD,Data Scientist,5,180000,gbp
398,29,Male,Bachelors,Software Engineer,4,140000,gbp
399,32,Male,Bachelors,Product Manager,7,170000,gbp
400,25,Female,Masters,Data Analyst,1,100000,gbp
401,33,Male,PhD,Data Scientist,8,190000,gbp
402,31,Female,Bachelors,Software Engineer,6,155000,gbp
403,28,Male,Masters,Product Manager,3,130000,gbp
404,30,Female,Bachelors,Data Analyst,5,145000,gbp
405,27,Male,PhD,Data Scientist,2,115000,gbp
406,29,Female,Bachelors,Software Engineer,4,140000,gbp
407,34,Male,Bachelors,Product Manager,9,185000,gbp
408,25,Female,Masters,Data Analyst,1,100000,gbp
409,33,Male,PhD,Data Scientist,8,190000,gbp
410,31,Female,Bachelors,Software Engineer,6,155000,gbp
411,28,Male,Masters,Product Manager,3,130000,gbp
412,30,Female,Bachelors,Data Analyst,5,145000,gbp
413,28,Male,Bachelors,Software Engineer,3,125000,gbp
414,26,Female,Masters,Product Manager,2,120000,gbp
415,27,Male,Bachelors,Data Analyst,2,110000,gbp
416,30,Female,PhD,Data Scientist,5,180000,gbp
417,29,Male,Bachelors,Software Engineer,4,140000,gbp
418,32,Male,Bachelors,Product Manager,7,170000,gbp
419,25,Female,Masters,Data Analyst,1,100000,gbp
420,33,Male,PhD,Data Scientist,8,190000,gbp
421,31,Female,Bachelors,Software Engineer,6,155000,gbp
422,28,Male,Masters,Product Manager,3,130000,gbp
423,30,Female,Bachelors,Data Analyst,5,145000,gbp
424,27,Male,PhD,Data Scientist,2,115000,gbp
425,29,Female,Bachelors,Software Engineer,4,140000,gbp
426,34,Male,Bachelors,Product Manager,9,185000,gbp
427,25,Female,Masters,Data Analyst,1,100000,gbp
428,33,Male,PhD,Data Scientist,8,190000,gbp
429,31,Female,Bachelors,Software Engineer,6,155000,gbp
430,28,Male,Masters,Product Manager,3,130000,gbp
431,30,Female,Bachelors,Data Analyst,5,145000,gbp
432,28,Male,Bachelors,Software Engineer,3,125000,gbp
433,26,Female,Masters,Product Manager,2,120000,gbp
434,27,Male,Bachelors,Data Analyst,2,110000,gbp
435,30,Female,PhD,Data Scientist,5,180000,gbp
436,29,Male,Bachelors,Software Engineer,4,140000,gbp
437,32,Male,Bachelors,Product Manager,7,170000,gbp
438,25,Female,Masters,Data Analyst,1,100000,gbp
439,33,Male,PhD,Data Scientist,8,190000,gbp
440,31,Female,Bachelors,Software Engineer,6,155000,gbp
441,28,Male,Masters,Product Manager,3,130000,gbp
442,30,Female,Bachelors,Data Analyst,5,145000,gbp
443,27,Male,PhD,Data Scientist,2,115000,gbp
444,29,Female,Bachelors,Software Engineer,4,140000,gbp
445,34,Male,Bachelors,Product Manager,9,185000,gbp
446,25,Female,Masters,Data Analyst,1,100000,gbp
447,33,Male,PhD,Data Scientist,8,190000,gbp
448,31,Female,Bachelors,Software Engineer,6,155000,gbp
449,28,Male,Masters,Product Manager,3,130000,gbp
450,30,Female,Bachelors,Data Analyst,5,145000,gbp
451,27,Male,PhD,Data Scientist,2,115000,gbp
452,29,Female,Bachelors,Software Engineer,4,140000,gbp
453,34,Male,Bachelors,Product Manager,9,185000,gbp
454,25,Female,Masters,Data Analyst,1,100000,gbp
455,33,Male,PhD,Data Scientist,8,190000,gbp
456,31,Female,Bachelors,Software Engineer,6,155000,gbp
457,28,Male,Masters,Product Manager,3,130000,gbp
458,30,Female,Bachelors,Data Analyst,5,145000,gbp
459,28,Male,Bachelors,Software Engineer,3,125000,gbp
460,26,Female,Masters,Product Manager,2,120000,gbp
461,27,Male,Bachelors,Data Analyst,2,110000,gbp
462,30,Female,PhD,Data Scientist,5,180000,gbp
